M1 UConn,9.66
M2 Iowa St,5.88
M3 Illinois,5.22
M4 Auburn,4.55
M5 San Diego St,3.88
M6 BYU,3.66
M7 Washington St,3.55
M8 FAU,2.99
M9 Northwestern,2.22
M10 Drake,1.22
M11 Duquesne,1.22
M12 UAB,1.03
M13 Yale,1.03
M14 Morehead St,1.03
M15 South Dakota St,1.03
M16 Stetson,1.03
M1 North Carolina,5.00
M2 Arizona,5.00
M3 Baylor,5.00
M4 Alabama,5.00
M5 Saint Mary's,3.55
M6 Clemson,3.22
M7 Dayton,3.22
M8 Mississippi St,2.88
M9 Michigan St,2.88
M10 Nevada,1.22
M11 New Mexico,1.03
M12 Grand Canyon,1.03
M13 Charleston,1.03
M14 Colgate,1.03
M15 Long Beach St,1.03
M16 Howard/Wagner,1.03
M1 Houston,5.00
M2 Marquette,5.00
M3 Kentucky,5.00
M4 Duke,5.00
M5 Wisconsin,5.00
M6 Texas Tech,3.88
M7 Florida,3.88
M8 Nebraska,2.89
M9 Texas A&M,2.88
M10 Boise St/Colorado,1.33
M11 North Carolina St,1.33
M12 James Madison,0.77
M13 Vermont,0.77
M14 Oakland,0.77
M15 Western Kentucky,0.77
M16 Longwood,0.77
M1 Purdue,10.22
M2 Tennessee,5.22
M3 Creighton,4.00
M4 Kansas,4.00
M5 Gonzaga,3.88
M6 South Carolina,3.88
M7 Texas,4.11
M8 Utah St,2.88
M9 TCU,2.88
M10 Virginia/Colorado St,1.33
M11 Oregon,1.33
M12 McNeese St,0.77
M13 Samford,0.77
M14 Akron,0.77
M15 St. Peter's,0.77
M16 Montana St/Grambling St,0.77
W1 South Carolina,18.22
W2 Notre Dame,5.44
W3 Oregon St,4.00
W4 Indiana,4.00
W5 Oklahoma,3.00
W6 Nebraska,3.00
W7 Ole Miss,3.00
W8 North Carolina,1.88
W9 Michigan St,1.33
W10 Marquette,1.33
W11 Texas A&M,1.33
W12 FGCU,0.77
W13 Fairfield,0.77
W14 Eastern Washington,0.77
W15 Kent St,0.77
W16 Sacred Heart/Presbyterian,0.77
W1 Iowa,9.88
W2 UCLA,5.44
W3 LSU,4.00
W4 Kansas St,4.00
W5 Colorado,3.00
W6 Louisville,3.00
W7 Creighton,2.11
W8 West Virginia,2.11
W9 Princeton,1.22
W10 UNLV,1.22
W11 Middle Tennessee,1.22
W12 Drake,1.22
W13 Portland,0.77
W14 Rice,0.77
W15 California Baptist,0.77
W16 Holy Cross/UT-Martin,0.77
W1 USC,9.88
W2 Ohio St,4.00
W3 UConn,4.00
W4 Virginia Tech,3.00
W5 Baylor,3.00
W6 Syracuse,1.88
W7 Duke,1.22
W8 Kansas,1.22
W9 Michigan,1.22
W10 Richmond,1.22
W11 Auburn/Arizona,0.77
W12 Vanderbilt/Columbia,0.77
W13 Marshall,0.77
W14 Jackson St,0.77
W15 Maine,0.77
W16 Texas A&M-CC,0.77
W1 Texas,10.83
W2 Stanford,5.44
W3 North Carolina St,2.11
W4 Gonzaga,2.11
W5 Utah,2.11
W6 Tennessee,1.88
W7 Iowa St,1.77
W8 Alabama,1.22
W9 Florida St,1.22
W10 Maryland,1.22
W11 Green Bay,0.77
W12 South Dakota St,0.77
W13 UC Irvine,0.77
W14 Chattanooga,0.77
W15 Norfolk St,0.77
W16 Drexel,0.77
