M1 UConn,17.37
M2 Iowa St,6.06
M3 Illinois,4.76
M4 Auburn,4.04
M5 San Diego St,2.13
M6 BYU,2.01
M7 Washington St,1.11
M8 FAU,1.66
M9 Northwestern,0.88
M10 Drake,1.43
M11 Duquesne,0.60
M12 UAB,0.56
M13 Yale,0.36
M14 Morehead St,0.21
M15 South Dakota St,0.13
M16 Stetson,0.01
M1 North Carolina,5.59
M2 Arizona,9.75
M3 Baylor,3.87
M4 Alabama,3.28
M5 Saint Mary's,2.16
M6 Clemson,1.37
M7 Dayton,1.20
M8 Mississippi St,1.14
M9 Michigan St,1.40
M10 Nevada,1.34
M11 New Mexico,1.34
M12 Grand Canyon,0.90
M13 Charleston,0.52
M14 Colgate,0.29
M15 Long Beach St,0.09
M16 Howard/Wagner,0.02
M1 Houston,9.15
M2 Marquette,3.98
M3 Kentucky,5.02
M4 Duke,3.80
M5 Wisconsin,1.93
M6 Texas Tech,1.25
M7 Florida,1.68
M8 Nebraska,1.18
M9 Texas A&M,1.36
M10 Boise St/Colorado,0.75
M11 North Carolina St,1.29
M12 James Madison,0.85
M13 Vermont,0.40
M14 Oakland,0.24
M15 Western Kentucky,0.40
M16 Longwood,0.08
M1 Purdue,12.57
M2 Tennessee,6.36
M3 Creighton,4.43
M4 Kansas,2.42
M5 Gonzaga,3.69
M6 South Carolina,1.45
M7 Texas,1.65
M8 Utah St,0.94
M9 TCU,1.59
M10 Virginia/Colorado St,0.37
M11 Oregon,1.09
M12 McNeese St,0.38
M13 Samford,0.59
M14 Akron,0.39
M15 St. Peter's,0.06
M16 Montana St/Grambling St,0.02
W1 South Carolina,26.40
W2 Notre Dame,6.95
W3 Oregon St,4.21
W4 Indiana,4.38
W5 Oklahoma,1.52
W6 Nebraska,1.41
W7 Ole Miss,1.24
W8 North Carolina,1.09
W9 Michigan St,1.04
W10 Marquette,0.89
W11 Texas A&M,0.72
W12 FGCU,0.60
W13 Fairfield,0.04
W14 Eastern Washington,0.10
W15 Kent St,0.02
W16 Sacred Heart/Presbyterian,0.02
W1 Iowa,9.20
W2 UCLA,4.96
W3 LSU,5.94
W4 Kansas St,3.43
W5 Colorado,2.05
W6 Louisville,1.45
W7 Creighton,1.06
W8 West Virginia,1.42
W9 Princeton,0.71
W10 UNLV,1.06
W11 Middle Tennessee,0.67
W12 Drake,0.36
W13 Portland,0.07
W14 Rice,0.03
W15 California Baptist,0.02
W16 Holy Cross/UT-Martin,0.00
W1 USC,6.30
W2 Ohio St,4.26
W3 UConn,11.76
W4 Virginia Tech,3.74
W5 Baylor,1.76
W6 Syracuse,1.14
W7 Duke,1.74
W8 Kansas,1.18
W9 Michigan,0.94
W10 Richmond,0.39
W11 Auburn/Arizona,0.50
W12 Vanderbilt/Columbia,0.22
W13 Marshall,0.04
W14 Jackson St,0.01
W15 Maine,0.01
W16 Texas A&M-CC,0.02
W1 Texas,8.79
W2 Stanford,7.23
W3 North Carolina St,4.04
W4 Gonzaga,3.07
W5 Utah,2.45
W6 Tennessee,1.70
W7 Iowa St,1.11
W8 Alabama,1.08
W9 Florida St,1.05
W10 Maryland,1.02
W11 Green Bay,0.42
W12 South Dakota St,0.29
W13 UC Irvine,0.05
W14 Chattanooga,0.03
W15 Norfolk St,0.01
W16 Drexel,0.01
