W1 South Carolina,Akash,26.4
W1 Iowa,Akash,15.3
W1 USC,Rahul,8.3
W1 Texas,Rahul,9.7
M1 UConn,Key,16.2
M1 Purdue,Lanard,12.57
M2 Arizona,Lanard,10.3
W3 UConn,Key,10.62
W3 LSU,Lanard,6.71
M3 Baylor,Lanard,5.0
M1 Houston,Lanard,9.34
M2 Tennessee,Vaibhav,6.36
M3 Creighton,Lanard,5.15
W2 Stanford,Key,6.76
M3 Kentucky,Vaibhav,5.02
W2 Notre Dame,Vaibhav,6.95
M4 Auburn,Rahul,4.2
M2 Iowa St,Vaibhav,6.06
M1 North Carolina,Vaibhav,5.59
W2 UCLA,Vaibhav,5.44
M2 Marquette,Vaibhav,5.0
M3 Illinois,Rahul,4.94
M5 Gonzaga,Rahul,3.69
W2 Ohio St,Vaibhav,4.26
M4 Alabama,Rahul,3.64
M4 Duke,Rahul,4.48
M5 Wisconsin,Rahul,2.18
W3 North Carolina St,Vaibhav,4.04
W4 Indiana,Key,4.0
W3 Oregon St,Key,4.0
M7 Texas,Rahul,1.65
M4 Kansas,Rahul,2.5
W4 Kansas St,Rahul,3.43
M5 San Diego St,Key,1.71
M6 Texas Tech,Rich,1.29
M7 Florida,Key,1.51
M6 South Carolina,Rich,1.45
W4 Virginia Tech,Key,2.5
M6 BYU,Key,1.54
M7 Washington St,Rich,1.29
M5 Saint Mary's,Rich,1.29
W4 Gonzaga,Rich,1.29
M6 Clemson,Rich,1.29
M7 Dayton,Rich,1.29
W5 Baylor,Rich,1.29
W5 Oklahoma,Rich,1.29
W6 Nebraska,Rich,1.29
W7 Ole Miss,Rich,1.29
W5 Colorado,Rich,1.29
W6 Louisville,Rich,1.29
M8 FAU,Rahul,1.19
M8 Nebraska,Vaibhav,1.16
M8 Mississippi St,Key,0.96
M9 Michigan St,Rich,0.8
M9 Texas A&M,Rich,0.5
M8 Utah St,Rich,0.2
M9 TCU,Rich,0.93
W5 Utah,Rich,0.6
M9 Northwestern,Rich,0.93
W7 Creighton,Rich,0.6
W8 West Virginia,Rich,0.6
W6 Tennessee,Rich,0.6
W7 Duke,Rich,0.6
W8 North Carolina,Rich,0.5
W6 Syracuse,Rich,0.6
M10 Boise St/Colorado,Rich,0.2
W7 Iowa St,Rich,0.6
W8 Kansas,Rich,0.6
M11 New Mexico,Rich,0.2
M10 Drake,Rich,0.2
M10 Nevada,Rich,0.2
M11 North Carolina St,Rich,0.2
M10 Virginia/Colorado St,Rich,0.2
M11 Oregon,Rich,0.2
W9 Michigan St,Rich,0.5
W10 Marquette,Rich,0.2
W11 Texas A&M,Rich,0.2
M11 Duquesne,Rich,0.2
W9 Princeton,Rich,0.6
W10 UNLV,Rich,0.2
W11 Middle Tennessee,Rich,0.2
W12 Drake,Rich,0.2
W9 Michigan,Rich,0.6
W10 Richmond,Rich,0.2
W8 Alabama,Rich,0.6
W9 Florida St,Rich,0.6
W10 Maryland,Rich,0.2
M12 UAB,Rich,0.2
M13 Yale,Lanard,0.2
M14 Morehead St,Lanard,0.2
M15 South Dakota St,Lanard,0.13
M16 Stetson,Lanard,0.1
M12 Grand Canyon,Rich,0.2
M13 Charleston,Lanard,0.2
M14 Colgate,Key,0.12
M15 Long Beach St,Lanard,0.1
M16 Howard/Wagner,Rahul,0.02
W11 Auburn/Arizona,Rich,0.12
M12 James Madison,Rich,0.12
M13 Vermont,Rich,0.12
M14 Oakland,Vaibhav,0.09
M15 Western Kentucky,Key,0.08
M16 Longwood,Rahul,0.03
M12 McNeese St,Rich,0.05
M13 Samford,Rich,0.05
M14 Akron,Rich,0.05
M15 St. Peter's,Rahul,0.03
M16 Montana St/Grambling St,Vaibhav,0.02
W12 FGCU,Rich,0.02
W13 Fairfield,Rich,0.02
W14 Eastern Washington,Rich,0.02
W15 Kent St,Rich,0.02
W16 Sacred Heart/Presbyterian,Rahul,0.01
W13 Portland,Rich,0.01
W14 Rice,Rich,0.01
W15 California Baptist,Rich,0.01
W16 Holy Cross/UT-Martin,Rich,0.01
W12 Vanderbilt/Columbia,Rich,0.01
W13 Marshall,Rich,0.01
W14 Jackson St,Rich,0.01
W15 Maine,Rich,0.01
W16 Texas A&M-CC,Rich,0.01
W11 Green Bay,Rich,0.01
W12 South Dakota St,Rich,0.01
W13 UC Irvine,Rich,0.01
W14 Chattanooga,Rich,0.01
W15 Norfolk St,Rich,0.01
W16 Drexel,Rich,0.01
