M1 UConn,3.91
M2 Iowa St,3.45
M3 Illinois,2.94
M4 Auburn,2.5
M5 San Diego St,1.71
M6 BYU,1.54
M7 Washington St,1.51
M8 FAU,0.96
M9 Northwestern,1.06
M10 Drake,0.61
M11 Duquesne,0.59
M12 UAB,0.5
M13 Yale,0.19
M14 Morehead St,0.09
M15 South Dakota St,0.03
M16 Stetson,0.01
M1 North Carolina,3.91
M2 Arizona,3.45
M3 Baylor,2.94
M4 Alabama,2.5
M5 Saint Mary's,1.71
M6 Clemson,1.54
M7 Dayton,1.51
M8 Mississippi St,0.96
M9 Michigan St,1.06
M10 Nevada,0.61
M11 New Mexico,0.59
M12 Grand Canyon,0.5
M13 Charleston,0.19
M14 Colgate,0.09
M15 Long Beach St,0.03
M16 Howard/Wagner,0.01
M1 Houston,3.91
M2 Marquette,3.45
M3 Kentucky,2.94
M4 Duke,2.5
M5 Wisconsin,1.71
M6 Texas Tech,1.54
M7 Florida,1.51
M8 Nebraska,0.96
M9 Texas A&M,1.06
M10 Boise St/Colorado,0.61
M11 North Carolina St,0.59
M12 James Madison,0.5
M13 Vermont,0.19
M14 Oakland,0.09
M15 Western Kentucky,0.03
M16 Longwood,0.01
M1 Purdue,3.91
M2 Tennessee,3.45
M3 Creighton,2.94
M4 Kansas,2.5
M5 Gonzaga,1.71
M6 South Carolina,1.54
M7 Texas,1.51
M8 Utah St,0.96
M9 TCU,1.06
M10 Virginia/Colorado St,0.61
M11 Oregon,0.59
M12 McNeese St,0.5
M13 Samford,0.19
M14 Akron,0.09
M15 St. Peter's,0.03
M16 Montana St/Grambling St,0.01
W1 South Carolina,3.91
W2 Notre Dame,3.45
W3 Oregon St,2.94
W4 Indiana,2.5
W5 Oklahoma,1.71
W6 Nebraska,1.54
W7 Ole Miss,1.51
W8 North Carolina,0.96
W9 Michigan St,1.06
W10 Marquette,0.61
W11 Texas A&M,0.59
W12 FGCU,0.5
W13 Fairfield,0.19
W14 Eastern Washington,0.09
W15 Kent St,0.03
W16 Sacred Heart/Presbyterian,0.01
W1 Iowa,3.91
W2 UCLA,3.45
W3 LSU,2.94
W4 Kansas St,2.5
W5 Colorado,1.71
W6 Louisville,1.54
W7 Creighton,1.51
W8 West Virginia,0.96
W9 Princeton,1.06
W10 UNLV,0.61
W11 Middle Tennessee,0.59
W12 Drake,0.5
W13 Portland,0.19
W14 Rice,0.09
W15 California Baptist,0.03
W16 Holy Cross/UT-Martin,0.01
W1 USC,3.91
W2 Ohio St,3.45
W3 UConn,2.94
W4 Virginia Tech,2.5
W5 Baylor,1.71
W6 Syracuse,1.54
W7 Duke,1.51
W8 Kansas,0.96
W9 Michigan,1.06
W10 Richmond,0.61
W11 Auburn/Arizona,0.59
W12 Vanderbilt/Columbia,0.5
W13 Marshall,0.19
W14 Jackson St,0.09
W15 Maine,0.03
W16 Texas A&M-CC,0.01
W1 Texas,3.91
W2 Stanford,3.45
W3 North Carolina St,2.94
W4 Gonzaga,2.5
W5 Utah,1.71
W6 Tennessee,1.54
W7 Iowa St,1.51
W8 Alabama,0.96
W9 Florida St,1.06
W10 Maryland,0.61
W11 Green Bay,0.59
W12 South Dakota St,0.5
W13 UC Irvine,0.19
W14 Chattanooga,0.09
W15 Norfolk St,0.03
W16 Drexel,0.01
